山田拓哉,ヤマダタクヤ,文,神奈川大学,経済学部,経済学科,東京都,文京区5-24,yt8393@pc.com,yt8393@ne.jp
山田一志,ヤマダカズシ,理,群馬大学,情報学部,情報学科,群馬県,前橋市7-53,yk1030@pc.com,yk1030@ne.jp
大関雄太,オオセキユウタ,文,東京都立大学,人文社会学部,人文学科,東京都,八王子市9-2,oy0321@pc.com,oy0321@ne.jp
佐藤慎太,サトウシンタ,理,東洋大学,理工学部,応用科学科,東京都,練馬区2-3,ss0907@pc.com,ss0907@ne.jp
星兼一,ホシケンイチ,文,東洋大学,社会学部,社会学科,東京都,豊島区343-3,hk0805@pc.com,hk0805@ne.jp
長谷川瑠偉,ハセガワルイ,文,帝京平成大学,人文社会学部,経営学科,東京都,渋谷区4-4-2,hr0910@pc.com,hr0910@ne.jp
関崎元助,セキザキゲンスケ,文,二松学舎大学,文学部,国文学科,千葉県,柏市5-6,sg0402@pc.com,sg0402@ne.jp
長谷川拓真,ハセガワタクマ,理,専修大学,法学部,法律学科,神奈川県,川崎市3-1,ht1024@pc.com,ht1024@ne.jp
榊康太,サカキコウタ,文,横浜国立大学,経済学部,経済学科,神奈川県,横浜市5-9,sk0904@pc.com,sk0904@ne.jp
石原大輔,イシハラダイスケ,理,神奈川大学,経営学部,国際経営学科,神奈川県,横浜市6-2,id0601@pc.com,id0601@ne.jp
関本千春,セキモトチハル,文,千葉大学,文学部,人文学科,千葉県,柏市7-9,st0910@pc.com,st0910@ne.jp
橋本梨恵,ハシモトリエ,文,高崎経済大学,経済学部,国際学科,群馬県,高崎市5-10,hr1113@pc.com,hr1113@ne.jp
小林柊,コバヤシシユウ,文,筑波大学,人間学群,心理学類,茨城県,水戸市10-2,ks0907@pc.com,ks0907@ne.jp
土田彩芽,ツチダアヤメ,理,茨城大学,理学部,化学コース,茨城大学,水戸市5-12,ta0406@pc.com,ta0406@ne.jp
五十嵐晴子,イカラシハルコ,理,横浜市立大学,理学部,理学科,神奈川県,横浜市7-4,ih0105@pc.com,ih0105@ne.jp
高橋亜里,タカハシアリ,文,埼玉大学,教養学部,教養学科,埼玉県,川口市6-3,ta0528@pc.com,ta0528@ne.jp
北村佳澄,キタムラカスミ,文,宇都宮大学,国際学部,国際学科,栃木県,宇都宮市9-10,kk1020@pc.com,kk1020@ne.jp
富川芽衣子,トミカワメイコ,文,日本大学,法学部,法律学科,東京都,江東区8-3,tm0617@pc.com,tm0617@ne.jp
本間佑理,ホンマユリ,理,立教大学,理学部,物理学科,東京都,墨田区3-4,hy1105@pc.com,hy1105@ne.jp
真田亜弥,サナダアヤ,文,城西大学,経済学部,経済学科,東京都,目黒区5-10,sa1219@pc.com,sa1219@ne.jp
