渡邉善郎,ワタナベヨシロウ,文,中央大学,経済学部,経済学科,東京都,中央区5-32,wy0803@pc.com,wy0803@ne.jp
白井淳一,シライジュンイチ,理,山梨大学,工学部,機械工学科,山梨県,甲府市7-21,sj0430@pc.com,sj0430@ne.jp
佐藤優弥,サトウユウヤ,文,玉川大学,文学部,英語教育学科,東京都,港区4-1,sy0115@pc.com,sy0115@ne.jp
武石丈,タケイシジョウ,理,金沢工業大学,工学部,機械工学科,石川県,金沢市1-14,tj0812@pc.com,tj0812@ne.jp
星兼一,ホシケンイチ,文,東洋大学,社会学部,社会学科,東京都,豊島区343-3,hk0805@pc.com,hk0805@ne.jp
目黒淳,メグロジュン,文,専修大学,文学部,歴史学科,神奈川県,川崎市5-10,mj1224@pc.com,mj1224@ne.jp
遠山航太,トオヤマコウタ,理,金沢工業大学,工学部,情報工学科,石川県,金沢市4-22,tk0416@pc.com,tk0416@ne.jp
長谷川拓真,ハセガワタクマ,理,専修大学,法学部,法律学科,神奈川県,川崎市3-1,ht1024@pc.com,ht1024@ne.jp
太田智也,オオタトモヤ,文,明治大学,商学部,商学科,東京都,文京区6-83,ot0522@pc.com,0t0522@ne.jp
腮尾純也,アギオジュンヤ,理,東京工科大学,工学部,応用化学科,東京都,大田区10-3,aj1128@pc.com,aj1128@ne.jp
関本千春,セキモトチハル,文,千葉大学,文学部,人文学科,千葉県,柏市7-9,st0910@pc.com,st0910@ne.jp
渡辺健太,ワタナベケンタ,理,東海大学,理学部,数学科,神奈川県,横須賀市4-11,wk1022@pc.com,wk1022@ne.jp
岡田利香,オカダリカ,理,東京工科大学,工学部,機械工学科,神奈川県,川崎市5-21,or0509@pc.com,or0509@ne.jp
瀬下真由佳,セジモマユカ,文,文京学院大学,人間学部,心理学科,東京都,杉並区1-15,sm0803@pc.com,sm0803@ne.jp
五十嵐晴子,イカラシハルコ,理,横浜市立大学,理学部,理学科,神奈川県,横浜市7-4,ih0105@pc.com,ih0105@ne.jp
片山奈々,カタヤマナナ,文,千葉商科大学,人間社会学科,人間社会学科,千葉県,柏市8-15,kn1006@pc.com,kn1006@ne.jp
石黒優紀,イシグロユキ,文,関東学院大学,法学部,法学科,神奈川県,川崎市6-13,iy1028@pc.com,iy1028@ne.jp
富川芽衣子,トミカワメイコ,文,日本大学,法学部,法律学科,東京都,江東区8-3,tm0617@pc.com,tm0617@ne.jp
山田晴,ヤマダハル,文,文教大学,人間科学部,心理学科,埼玉県,大宮市7-19,yh1104@pc.com,yh1104@ne.jp
増田華,マスダハナ,理,明治大学,理工学部,数学科,神奈川県,川崎市8-14,mh1216@pc.com,mh1216@ne.jp
